 format: day,hour,forecast,value  location:53_120 Start : 20170701 
 6,1400,+22,182.000000 
 6,1400,+25,195.000000 
 6,1400,+28,176.000000 
 6,1400,+31,181.000000 
 6,1400,+34,190.000000 
 6,1400,+37,185.000000 
 6,1400,+40,193.000000 
 6,1400,+43,214.000000 
 6,1400,+46,147.000000 
 6,1400,+49,203.000000 
 6,1700,+4,134.000000 
 6,1700,+7,136.000000 
 6,1700,+10,156.000000 
 6,1700,+13,169.000000 
 6,1700,+16,184.000000 
 6,1700,+19,182.000000 
 6,1700,+22,195.000000 
 6,1700,+25,176.000000 
 6,1700,+28,181.000000 
 6,1700,+31,190.000000 
 6,1700,+34,185.000000 
 6,1700,+37,193.000000 
 6,1700,+40,214.000000 
 6,1700,+43,147.000000 
 6,1700,+46,203.000000 
 6,2000,+4,127.000000 
 6,2000,+7,125.000000 
 6,2000,+10,175.000000 
 6,2000,+13,185.000000 
 6,2000,+16,195.000000 
 6,2000,+19,196.000000 
 6,2000,+22,189.000000 
 6,2000,+25,187.000000 
 6,2000,+28,204.000000 
 6,2000,+31,191.000000 
 6,2000,+34,198.000000 
 6,2000,+37,183.000000 
 6,2000,+40,197.000000 
 6,2000,+43,194.000000 
 6,2000,+46,139.000000 
 6,2000,+49,191.000000 
 6,2000,+52,190.000000 
 6,2000,+55,203.000000 
 6,2000,+58,207.000000 
 6,2000,+61,195.000000 
 6,2000,+64,156.000000 
 6,2000,+67,147.000000 
 6,2300,+4,125.000000 
 6,2300,+7,175.000000 
 6,2300,+10,185.000000 
 6,2300,+13,195.000000 
 6,2300,+16,196.000000 
 6,2300,+19,189.000000 
 6,2300,+22,187.000000 
 6,2300,+25,204.000000 
 6,2300,+28,191.000000 
 6,2300,+31,198.000000 
 6,2300,+34,183.000000 
 6,2300,+37,197.000000 
 6,2300,+40,194.000000 
 6,2300,+43,139.000000 
 6,2300,+46,191.000000 
 6,2300,+49,190.000000 
 6,2300,+52,203.000000 
 6,2300,+55,207.000000 
 6,2300,+58,195.000000 
 6,2300,+61,156.000000 
 6,2300,+64,147.000000 
 7,0200,+4,175.000000 
 7,0200,+7,185.000000 
 7,0200,+10,195.000000 
 7,0200,+13,196.000000 
 7,0200,+16,189.000000 
 7,0200,+19,187.000000 
 7,0200,+22,204.000000 
 7,0200,+25,191.000000 
 7,0200,+28,198.000000 
 7,0200,+31,183.000000 
 7,0200,+34,197.000000 
 7,0200,+37,194.000000 
 7,0200,+40,139.000000 
 7,0200,+43,191.000000 
 7,0200,+46,190.000000 
 7,0200,+49,203.000000 
 7,0200,+52,207.000000 
 7,0200,+55,195.000000 
 7,0200,+58,156.000000 
 7,0200,+61,147.000000 
 7,0500,+4,185.000000 
 7,0500,+7,195.000000 
 7,0500,+10,196.000000 
 7,0500,+13,189.000000 
 7,0500,+16,187.000000 
 7,0500,+19,204.000000 
 7,0500,+22,191.000000 
 7,0500,+25,198.000000 
 7,0500,+28,183.000000 
 7,0500,+31,197.000000 
 7,0500,+34,194.000000 
 7,0500,+37,139.000000 
 7,0500,+40,191.000000 
