월별평년값,,,,,,,,,,,,,
MONTHLY NORMALS,,,,,,,,,,,,,
* 목차로 돌아가기,,,,,,,,,,,,,
일최고기온 Daily Maximum Temperature(℃),,,,,,,,,,,,,
지점번호,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
643,세천,3.6 ,6.6 ,12.6 ,19.3 ,24.7 ,28.2 ,29.9 ,30.6 ,26.3 ,20.7 ,13.1 ,5.6 
648,장동,3.7 ,6.8 ,12.7 ,19.4 ,24.8 ,28.1 ,29.8 ,30.6 ,26.4 ,20.8 ,13.2 ,5.6 
649,부평,2.0 ,5.0 ,11.9 ,18.2 ,24.8 ,28.8 ,30.2 ,31.6 ,26.9 ,20.5 ,12.1 ,3.5 
652,연천청산,1.8 ,5.1 ,11.5 ,18.7 ,24.6 ,28.5 ,29.8 ,30.8 ,26.6 ,20.4 ,11.6 ,3.2 
670,양양,4.5 ,6.2 ,11.2 ,17.0 ,22.6 ,24.7 ,27.6 ,28.4 ,24.0 ,19.8 ,13.2 ,6.2 
674,사북,-1.4 ,1.7 ,7.6 ,14.2 ,20.9 ,24.0 ,25.3 ,25.7 ,20.7 ,15.5 ,8.2 ,0.2 
699,무안,5.0 ,7.3 ,11.9 ,17.7 ,23.3 ,26.7 ,29.1 ,30.5 ,26.7 ,21.2 ,14.3 ,7.3 
701,무주,3.8 ,6.8 ,12.7 ,18.9 ,24.7 ,27.9 ,29.5 ,30.3 ,25.6 ,20.3 ,13.3 ,5.4 
702,익산,4.7 ,7.4 ,12.8 ,19.1 ,24.4 ,28.1 ,30.2 ,31.1 ,27.0 ,21.4 ,14.1 ,6.6 
703,진안,3.2 ,6.0 ,11.6 ,18.0 ,23.2 ,26.4 ,28.2 ,29.0 ,25.1 ,19.8 ,12.8 ,5.3 
706,담양,5.5 ,8.4 ,13.6 ,19.7 ,24.7 ,27.7 ,29.5 ,30.6 ,27.1 ,21.9 ,14.9 ,7.6 
708,광산,5.6 ,8.4 ,13.6 ,19.7 ,25.0 ,28.4 ,30.4 ,31.6 ,27.7 ,22.2 ,15.1 ,7.9 
